date,close,broken_net_rate,bn_z10y,erp,breadth,new_low,vol_ratio,ret5,vol_temp,rsi14,bias60,drawdown,margin_chg5,limit_up_rate,limit_down_rate,max_consec_limit,n_sample,asi_v2,coverage,zone_v2,asi_v2_noerp,asi_v2_nolvspec,asi_v1
2005-01-04,1242.77,6.93,,,31.68,28.43,0.637,-2.93,31.0,28.24,-6.2,-30.08,,0.49,1.471,1,204,32.1,0.9,Neutral,32.1,31.5,24.6
2005-01-05,1251.94,6.44,,,42.42,3.43,0.691,-2.11,33.7,32.98,-5.36,-29.57,,0.98,0.49,2,204,37.7,0.9,Neutral,37.7,37.0,31.5
2005-01-06,1239.43,6.97,,,39.83,11.33,0.638,-2.74,31.65,30.06,-6.13,-30.27,,0.0,0.0,1,203,33.7,0.9,Neutral,33.7,33.2,27.8
2005-01-07,1244.75,6.97,,,46.75,6.9,0.726,-2.27,33.04,32.79,-5.62,-29.97,,0.493,0.0,1,203,35.7,0.9,Neutral,35.7,35.0,32.6
2005-01-10,1252.4,6.47,,,56.14,5.91,0.594,-1.11,37.02,36.62,-4.94,-29.54,,0.493,0.0,1,203,38.9,0.9,Neutral,38.9,38.3,36.2
2005-01-11,1257.46,5.47,,,61.29,1.97,0.64,1.18,44.95,39.09,-4.47,-29.26,,0.493,0.0,1,203,44.8,0.9,Neutral,44.8,44.6,41.0
2005-01-12,1256.92,4.95,,,51.09,2.45,0.562,0.4,41.55,38.91,-4.41,-29.29,,0.0,0.0,1,204,43.7,0.9,Neutral,43.7,43.8,37.2
2005-01-13,1256.31,5.94,,,56.56,1.96,0.733,1.36,46.84,38.7,-4.37,-29.32,,0.0,0.0,1,204,43.5,0.9,Neutral,43.5,43.5,40.0
2005-01-14,1245.62,6.44,,,45.32,4.9,0.833,0.07,42.74,35.13,-5.1,-29.92,,0.0,0.0,1,204,39.1,0.9,Neutral,39.1,38.8,35.4
2005-01-17,1216.65,7.96,,,33.1,27.09,0.852,-2.85,30.29,27.67,-7.18,-31.55,,0.0,1.478,1,203,29.1,0.9,Pessimistic,29.1,28.6,26.1
2005-01-18,1225.45,5.94,,,39.13,7.84,0.876,-2.55,31.54,32.37,-6.4,-31.06,,1.961,0.49,1,204,36.4,0.9,Neutral,36.4,35.7,32.9
2005-01-19,1218.11,6.0,,,38.02,11.88,0.814,-3.09,29.49,30.58,-6.84,-31.47,,0.99,0.495,2,202,35.0,0.9,Neutral,35.0,34.2,30.8
2005-01-20,1204.39,8.42,,,33.02,22.06,0.905,-4.13,24.24,27.53,-7.72,-32.24,,0.0,0.49,1,204,26.6,0.9,Pessimistic,26.6,25.8,25.9
2005-01-21,1234.48,5.94,,,46.25,1.47,1.513,-0.89,41.35,41.36,-5.29,-30.55,,1.471,0.98,1,204,41.9,0.9,Neutral,41.9,41.7,44.6
2005-01-24,1255.78,4.48,,,62.51,0.49,1.613,3.22,72.96,48.81,-3.57,-29.35,,0.985,0.0,1,203,55.8,0.9,Neutral,55.8,56.2,55.3
2005-01-25,1254.23,5.94,,,52.02,1.47,1.057,2.35,56.41,48.33,-3.63,-29.44,,0.49,0.49,1,204,46.9,0.9,Neutral,46.9,47.0,45.6
2005-01-26,1241.96,5.94,,,49.5,2.94,0.863,1.96,51.22,44.58,-4.5,-30.13,,0.49,0.0,1,204,44.2,0.9,Neutral,44.2,44.0,40.8
