date,pe_ttm,pe_q
2021-08-31,12.41,
2021-09-30,12.61,
2021-10-29,12.67,
2021-11-30,12.25,
2021-12-31,13.37,
2022-01-28,12.44,
2022-02-28,12.57,
2022-03-31,11.72,
2022-04-29,11.21,
2022-05-31,11.32,
2022-06-30,12.31,
2022-07-29,11.44,
2022-08-31,11.02,
2022-09-30,10.47,
2022-10-31,9.61,
2022-11-30,10.57,
2022-12-30,10.59,
2023-01-31,11.26,
2023-02-28,11.17,
2023-03-31,11.27,
2023-04-28,11.47,
2023-05-31,10.93,
2023-06-30,10.97,
2023-07-31,11.36,
2023-08-31,10.99,
2023-09-28,10.87,
2023-10-31,10.64,
2023-11-30,10.48,
2023-12-29,10.38,
2024-01-31,10.16,
2024-02-29,10.91,
2024-03-29,11.21,
2024-04-30,11.63,
2024-05-31,11.57,
2024-06-28,11.48,
2024-07-31,11.32,
2024-08-30,10.86,
2024-09-30,12.65,
2024-10-31,11.65,
2024-11-29,11.75,
2024-12-31,12.19,
2025-01-27,11.74,
2025-02-28,11.82,
2025-03-31,11.78,
2025-04-30,11.49,
2025-05-30,11.73,
2025-06-30,12.34,
2025-07-31,12.44,
2025-08-29,13.23,
2025-09-30,13.32,
2025-10-31,13.19,
2025-11-28,13.04,
2025-12-31,13.34,
2026-01-30,13.37,
2026-02-27,13.33,
2026-03-31,13.3,
2026-04-30,13.85,
2026-05-29,13.8,
2026-06-30,13.77,
2026-07-31,13.68,
2026-08-31,13.04,
2026-09-02,12.93,0.54248
