date,margin_balance
2012-09-27,704.53
2012-09-28,685.47
2012-10-08,696.69
2012-10-09,699.63
2012-10-10,708.57
2012-10-11,715.18
2012-10-12,716.87
2012-10-15,719.66
2012-10-16,720.75
2012-10-17,726.03
2012-10-18,725.29
2012-10-19,722.64
2012-10-22,728.68
2012-10-23,735.19
2012-10-24,738.7
2012-10-25,743.62
2012-10-26,749.71
2012-10-29,754.63
2012-10-30,753.15
2012-10-31,752.88
2012-11-01,748.99
2012-11-02,747.84
2012-11-05,751.39
2012-11-06,755.08
2012-11-07,756.69
2012-11-08,754.93
2012-11-09,751.91
2012-11-12,752.65
2012-11-13,754.03
2012-11-14,755.16
2012-11-15,755.95
2012-11-16,756.31
2012-11-19,759.31
2012-11-20,760.04
2012-11-21,761.52
2012-11-22,761.34
2012-11-23,758.65
2012-11-26,760.24
2012-11-27,758.29
2012-11-28,755.4
2012-11-29,751.33
2012-11-30,747.59
2012-12-03,743.37
2012-12-04,741.11
2012-12-05,742.93
2012-12-06,748.19
2012-12-07,747.34
2012-12-10,749.2
2012-12-11,756.33
2012-12-12,763.21
2012-12-13,766.89
2012-12-14,768.54
2012-12-17,779.53
2012-12-18,790.96
2012-12-19,799.44
2012-12-20,810.26
2012-12-21,822.06
2012-12-24,831.42
2012-12-25,841.38
2012-12-26,850.59
2012-12-27,860.45
2012-12-28,861.44
2012-12-31,856.5
2013-01-04,879.0
2013-01-07,899.94
2013-01-08,914.05
2013-01-09,925.53
2013-01-10,937.69
2013-01-11,943.84
2013-01-14,963.09
2013-01-15,981.51
2013-01-16,995.97
2013-01-17,1011.83
2013-01-18,1010.84
2013-01-21,1032.58
2013-01-22,1053.61
2013-01-23,1069.47
2013-01-24,1071.06
2013-01-25,1071.92
2013-01-28,1086.27
2013-01-29,1107.91
2013-01-30,1131.12
2013-01-31,1151.87
2013-02-01,1156.57
2013-02-04,1189.28
2013-02-05,1205.69
2013-02-06,1225.86
2013-02-07,1243.82
2013-02-08,1217.25
2013-02-18,1262.96
2013-02-19,1294.94
2013-02-20,1304.09
2013-02-21,1323.25
2013-02-22,1323.35
2013-02-25,1337.05
2013-02-26,1358.54
2013-02-27,1365.95
2013-02-28,1369.9
2013-03-01,1383.43
2013-03-04,1411.5
2013-03-05,1429.81
