date,close,asi,coverage,zone
2021-09-02,3138.8,56.8,0.85,Neutral
2021-09-03,3102.14,57.0,0.85,Neutral
2021-09-06,3228.09,66.0,0.85,Optimistic
2021-09-07,3251.49,69.8,0.85,Optimistic
2021-09-08,3219.95,69.5,0.85,Optimistic
2021-09-09,3221.94,70.9,0.85,Optimistic
2021-09-10,3232.01,72.3,0.85,Optimistic
2021-09-13,3194.28,64.7,0.85,Optimistic
2021-09-14,3236.55,65.9,0.85,Optimistic
2021-09-15,3200.4,64.0,0.85,Optimistic
2021-09-16,3128.84,57.7,0.85,Neutral
2021-09-17,3193.26,62.7,0.85,Optimistic
2021-09-22,3164.33,62.5,0.85,Optimistic
2021-09-23,3182.47,64.7,0.85,Optimistic
2021-09-24,3207.82,65.4,0.85,Optimistic
2021-09-27,3231.58,67.7,0.85,Optimistic
2021-09-28,3211.45,63.5,0.85,Optimistic
2021-09-29,3175.15,60.6,0.85,Optimistic
2021-09-30,3244.65,68.4,0.85,Optimistic
2021-10-08,3243.2,69.1,0.85,Optimistic
2021-10-11,3196.19,66.7,0.85,Optimistic
2021-10-12,3138.26,61.7,0.85,Optimistic
2021-10-13,3210.16,69.8,0.85,Optimistic
2021-10-14,3215.74,67.0,0.85,Optimistic
2021-10-15,3276.32,67.9,0.85,Optimistic
2021-10-18,3276.48,68.8,0.85,Optimistic
2021-10-19,3297.29,74.6,0.85,Optimistic
2021-10-20,3285.12,70.0,0.85,Optimistic
2021-10-21,3279.49,67.4,0.85,Optimistic
2021-10-22,3284.91,66.6,0.85,Optimistic
2021-10-25,3338.62,70.2,0.85,Optimistic
2021-10-26,3327.54,69.1,0.85,Optimistic
2021-10-27,3308.96,66.0,0.85,Optimistic
2021-10-28,3278.36,63.2,0.85,Optimistic
2021-10-29,3350.66,70.9,0.85,Optimistic
2021-11-01,3331.91,69.7,0.85,Optimistic
2021-11-02,3339.6,68.5,0.85,Optimistic
2021-11-03,3327.09,72.1,0.85,Optimistic
2021-11-04,3362.25,75.6,0.85,Optimistic
2021-11-05,3352.75,72.9,0.85,Optimistic
2021-11-08,3380.29,74.7,0.85,Optimistic
2021-11-09,3409.94,77.6,0.85,Optimistic
2021-11-10,3399.66,77.4,0.85,Optimistic
2021-11-11,3433.24,79.5,0.85,Optimistic
2021-11-12,3430.14,79.8,0.85,Optimistic
2021-11-15,3401.87,76.0,0.85,Optimistic
2021-11-16,3393.72,73.2,0.85,Optimistic
2021-11-17,3421.33,75.8,0.85,Optimistic
2021-11-18,3383.91,70.3,0.85,Optimistic
2021-11-19,3418.96,72.7,0.85,Optimistic
2021-11-22,3505.73,79.9,0.85,Optimistic
2021-11-23,3492.77,79.8,0.85,Optimistic
2021-11-24,3478.66,77.1,0.85,Optimistic
2021-11-25,3474.45,78.5,0.85,Optimistic
2021-11-26,3468.86,75.8,0.85,Optimistic
2021-11-29,3503.41,74.8,0.85,Optimistic
2021-11-30,3495.59,74.6,0.85,Optimistic
2021-12-01,3473.37,72.9,0.85,Optimistic
2021-12-02,3466.91,72.0,0.85,Optimistic
2021-12-03,3478.67,72.9,0.85,Optimistic
2021-12-06,3405.93,66.7,0.85,Optimistic
2021-12-07,3368.78,64.4,0.85,Optimistic
2021-12-08,3424.7,68.3,0.85,Optimistic
2021-12-09,3459.32,71.2,0.85,Optimistic
2021-12-10,3466.8,71.2,0.85,Optimistic
2021-12-13,3496.96,76.6,0.85,Optimistic
2021-12-14,3495.06,79.1,0.85,Optimistic
2021-12-15,3464.76,74.1,0.85,Optimistic
2021-12-16,3490.45,74.2,0.85,Optimistic
2021-12-17,3434.34,70.0,0.85,Optimistic
2021-12-20,3332.61,62.2,0.85,Optimistic
2021-12-21,3350.43,63.6,0.85,Optimistic
2021-12-22,3368.7,65.6,0.85,Optimistic
2021-12-23,3373.7,63.7,0.85,Optimistic
2021-12-24,3297.11,60.8,0.85,Optimistic
2021-12-27,3293.81,65.7,0.85,Optimistic
2021-12-28,3328.56,66.9,0.85,Optimistic
2021-12-29,3281.9,62.8,0.85,Optimistic
2021-12-30,3322.8,66.3,0.85,Optimistic
2021-12-31,3322.67,69.3,0.85,Optimistic
2022-01-04,3250.16,65.5,0.85,Optimistic
2022-01-05,3161.51,57.3,0.85,Neutral
2022-01-06,3127.48,57.9,0.85,Neutral
2022-01-07,3096.88,55.8,0.85,Neutral
2022-01-10,3095.69,57.0,0.85,Neutral
2022-01-11,3056.15,54.8,0.85,Neutral
2022-01-12,3136.68,63.5,0.85,Optimistic
2022-01-13,3083.14,60.4,0.85,Optimistic
2022-01-14,3119.41,64.5,0.85,Optimistic
2022-01-17,3170.41,70.3,0.85,Optimistic
2022-01-18,3144.33,70.3,0.85,Optimistic
2022-01-19,3075.98,59.9,0.85,Neutral
2022-01-20,3065.99,59.3,0.85,Neutral
2022-01-21,3034.68,55.9,0.85,Neutral
2022-01-24,3056.43,55.5,0.85,Neutral
2022-01-25,2974.95,49.4,0.85,Neutral
2022-01-26,3004.41,55.2,0.85,Neutral
2022-01-27,2906.76,48.5,0.85,Neutral
2022-01-28,2908.95,52.8,0.85,Neutral
2022-02-07,2917.86,54.6,0.85,Neutral
2022-02-08,2846.48,56.1,0.85,Neutral
2022-02-09,2883.6,57.5,0.85,Neutral
2022-02-10,2826.52,56.8,0.85,Neutral
2022-02-11,2746.38,51.2,0.85,Neutral
2022-02-14,2732.01,51.4,0.85,Neutral
2022-02-15,2816.44,59.4,0.85,Neutral
2022-02-16,2818.4,59.4,0.85,Neutral
2022-02-17,2839.82,63.1,0.85,Optimistic
