date,close,asi,coverage,zone
2021-09-02,1399.48,52.8,0.85,Neutral
2021-09-03,1400.89,53.9,0.85,Neutral
2021-09-06,1438.99,61.9,0.85,Optimistic
2021-09-07,1438.57,62.9,0.85,Optimistic
2021-09-08,1412.72,61.3,0.85,Optimistic
2021-09-09,1402.19,61.5,0.85,Optimistic
2021-09-10,1426.81,64.2,0.85,Optimistic
2021-09-13,1384.43,56.4,0.85,Neutral
2021-09-14,1396.67,57.0,0.85,Neutral
2021-09-15,1384.52,56.8,0.85,Neutral
2021-09-16,1351.42,52.2,0.85,Neutral
2021-09-17,1349.68,51.7,0.85,Neutral
2021-09-22,1355.28,54.3,0.85,Neutral
2021-09-23,1363.79,57.7,0.85,Neutral
2021-09-24,1375.0,58.7,0.85,Neutral
2021-09-27,1368.69,59.5,0.85,Neutral
2021-09-28,1354.1,56.9,0.85,Neutral
2021-09-29,1345.77,54.3,0.85,Neutral
2021-09-30,1368.72,60.7,0.85,Optimistic
2021-10-08,1364.46,61.3,0.85,Optimistic
2021-10-11,1349.77,60.6,0.85,Optimistic
2021-10-12,1319.39,55.5,0.85,Neutral
2021-10-13,1344.76,63.0,0.85,Optimistic
2021-10-14,1347.27,62.3,0.85,Optimistic
2021-10-15,1363.16,62.2,0.85,Optimistic
2021-10-18,1352.58,60.8,0.85,Optimistic
2021-10-19,1366.79,65.5,0.85,Optimistic
2021-10-20,1373.59,64.5,0.85,Optimistic
2021-10-21,1362.4,61.5,0.85,Optimistic
2021-10-22,1368.14,61.7,0.85,Optimistic
2021-10-25,1380.31,64.9,0.85,Optimistic
2021-10-26,1376.13,63.1,0.85,Optimistic
2021-10-27,1361.82,59.4,0.85,Neutral
2021-10-28,1356.38,59.2,0.85,Neutral
2021-10-29,1396.19,68.8,0.85,Optimistic
2021-11-01,1404.21,70.0,0.85,Optimistic
2021-11-02,1405.64,70.2,0.85,Optimistic
2021-11-03,1399.55,72.1,0.85,Optimistic
2021-11-04,1410.74,76.4,0.85,Optimistic
2021-11-05,1396.74,68.0,0.85,Optimistic
2021-11-08,1400.8,67.8,0.85,Optimistic
2021-11-09,1420.51,73.8,0.85,Optimistic
2021-11-10,1420.45,74.2,0.85,Optimistic
2021-11-11,1437.15,75.8,0.85,Optimistic
2021-11-12,1440.16,79.0,0.85,Optimistic
2021-11-15,1432.6,76.8,0.85,Optimistic
2021-11-16,1421.28,72.3,0.85,Optimistic
2021-11-17,1436.16,74.2,0.85,Optimistic
2021-11-18,1423.97,70.3,0.85,Optimistic
2021-11-19,1444.78,72.9,0.85,Optimistic
2021-11-22,1479.99,78.3,0.85,Optimistic
2021-11-23,1476.25,78.7,0.85,Optimistic
2021-11-24,1472.22,77.0,0.85,Optimistic
2021-11-25,1468.07,77.7,0.85,Optimistic
2021-11-26,1459.93,74.3,0.85,Optimistic
2021-11-29,1471.23,71.3,0.85,Optimistic
2021-11-30,1475.71,72.6,0.85,Optimistic
2021-12-01,1456.48,69.6,0.85,Optimistic
2021-12-02,1429.5,65.7,0.85,Optimistic
2021-12-03,1444.83,69.2,0.85,Optimistic
2021-12-06,1405.77,61.4,0.85,Optimistic
2021-12-07,1389.44,58.5,0.85,Neutral
2021-12-08,1415.37,64.8,0.85,Optimistic
2021-12-09,1434.52,70.9,0.85,Optimistic
2021-12-10,1435.7,70.1,0.85,Optimistic
2021-12-13,1445.71,75.0,0.85,Optimistic
2021-12-14,1439.47,75.8,0.85,Optimistic
2021-12-15,1424.9,70.0,0.85,Optimistic
2021-12-16,1425.93,69.5,0.85,Optimistic
2021-12-17,1399.06,64.7,0.85,Optimistic
2021-12-20,1363.96,59.3,0.85,Neutral
2021-12-21,1374.65,61.0,0.85,Optimistic
2021-12-22,1375.03,62.7,0.85,Optimistic
2021-12-23,1375.97,61.9,0.85,Optimistic
2021-12-24,1358.73,60.1,0.85,Optimistic
2021-12-27,1355.64,63.0,0.85,Optimistic
2021-12-28,1369.62,65.7,0.85,Optimistic
2021-12-29,1356.21,62.8,0.85,Optimistic
2021-12-30,1375.56,66.9,0.85,Optimistic
2021-12-31,1398.19,72.7,0.85,Optimistic
2022-01-04,1364.99,68.9,0.85,Optimistic
2022-01-05,1333.34,61.2,0.85,Optimistic
2022-01-06,1320.93,62.1,0.85,Optimistic
2022-01-07,1305.49,56.0,0.85,Neutral
2022-01-10,1318.27,57.8,0.85,Neutral
2022-01-11,1294.4,55.5,0.85,Neutral
2022-01-12,1316.35,63.4,0.85,Optimistic
2022-01-13,1294.65,59.5,0.85,Neutral
2022-01-14,1312.29,64.0,0.85,Optimistic
2022-01-17,1338.32,68.8,0.85,Optimistic
2022-01-18,1342.36,71.6,0.85,Optimistic
2022-01-19,1324.09,63.5,0.85,Optimistic
2022-01-20,1306.02,61.5,0.85,Optimistic
2022-01-21,1290.41,57.0,0.85,Neutral
2022-01-24,1307.74,58.4,0.85,Neutral
2022-01-25,1277.0,51.1,0.85,Neutral
2022-01-26,1276.36,54.0,0.85,Neutral
2022-01-27,1240.55,49.3,0.85,Neutral
2022-01-28,1229.22,51.3,0.85,Neutral
2022-02-07,1233.62,52.0,0.85,Neutral
2022-02-08,1204.05,52.3,0.85,Neutral
2022-02-09,1210.29,54.0,0.85,Neutral
2022-02-10,1188.2,51.8,0.85,Neutral
2022-02-11,1169.59,48.8,0.85,Neutral
2022-02-14,1169.44,49.3,0.85,Neutral
2022-02-15,1203.12,59.8,0.85,Neutral
2022-02-16,1197.56,59.5,0.85,Neutral
2022-02-17,1207.82,63.7,0.85,Optimistic
2022-02-18,1204.37,64.7,0.85,Optimistic
2022-02-21,1193.6,64.1,0.85,Optimistic
2022-02-22,1183.98,56.7,0.85,Neutral
2022-02-23,1231.08,72.2,0.85,Optimistic
2022-02-24,1214.99,64.6,0.85,Optimistic
2022-02-25,1240.88,71.2,0.85,Optimistic
2022-02-28,1249.59,72.3,0.85,Optimistic
2022-03-01,1239.02,71.4,0.85,Optimistic
2022-03-02,1230.28,64.6,0.85,Optimistic
2022-03-03,1209.82,62.1,0.85,Optimistic
2022-03-04,1203.09,57.4,0.85,Neutral
2022-03-07,1169.98,50.7,0.85,Neutral
2022-03-08,1137.08,46.4,0.85,Neutral
2022-03-09,1129.65,45.2,0.85,Neutral
2022-03-10,1153.36,51.3,0.85,Neutral
2022-03-11,1161.21,55.2,0.85,Neutral
2022-03-14,1126.28,51.1,0.85,Neutral
2022-03-15,1093.43,48.2,0.85,Neutral
2022-03-16,1125.48,61.3,0.85,Optimistic
2022-03-17,1142.71,63.8,0.85,Optimistic
2022-03-18,1144.32,61.9,0.85,Optimistic
2022-03-21,1152.33,69.6,0.85,Optimistic
2022-03-22,1134.32,69.8,0.85,Optimistic
2022-03-23,1144.09,67.6,0.85,Optimistic
2022-03-24,1134.57,60.9,0.85,Optimistic
2022-03-25,1106.86,55.4,0.85,Neutral
