date,close,asi,coverage,zone
2021-09-02,3597.04,47.8,0.85,Neutral
2021-09-03,3581.73,47.1,0.85,Neutral
2021-09-06,3621.86,50.8,0.85,Neutral
2021-09-07,3676.59,55.0,0.85,Neutral
2021-09-08,3675.19,56.1,0.85,Neutral
2021-09-09,3693.13,57.9,0.85,Neutral
2021-09-10,3703.11,58.4,0.85,Neutral
2021-09-13,3715.37,56.0,0.85,Neutral
2021-09-14,3662.6,46.4,0.85,Neutral
2021-09-15,3656.22,44.2,0.85,Neutral
2021-09-16,3607.09,37.1,0.85,Neutral
2021-09-17,3613.97,37.7,0.85,Neutral
2021-09-22,3628.49,39.4,0.85,Neutral
2021-09-23,3642.22,46.6,0.85,Neutral
2021-09-24,3613.07,39.7,0.85,Neutral
2021-09-27,3582.83,35.7,0.85,Neutral
2021-09-28,3602.22,37.8,0.85,Neutral
2021-09-29,3536.29,31.0,0.85,Neutral
2021-09-30,3568.17,34.6,0.85,Neutral
2021-10-08,3592.17,40.0,0.85,Neutral
2021-10-11,3591.71,41.4,0.85,Neutral
2021-10-12,3546.94,34.2,0.85,Neutral
2021-10-13,3561.76,38.9,0.85,Neutral
2021-10-14,3558.28,38.2,0.85,Neutral
2021-10-15,3572.37,35.6,0.85,Neutral
2021-10-18,3568.14,38.3,0.85,Neutral
2021-10-19,3593.15,41.4,0.85,Neutral
2021-10-20,3587.0,38.9,0.85,Neutral
2021-10-21,3594.78,38.8,0.85,Neutral
2021-10-22,3582.6,36.6,0.85,Neutral
2021-10-25,3609.86,38.9,0.85,Neutral
2021-10-26,3597.64,35.4,0.85,Neutral
2021-10-27,3562.3,31.7,0.85,Neutral
2021-10-28,3518.42,29.0,0.85,Pessimistic
2021-10-29,3547.34,33.9,0.85,Neutral
2021-11-01,3544.48,32.6,0.85,Neutral
2021-11-02,3505.63,29.1,0.85,Pessimistic
2021-11-03,3498.54,32.1,0.85,Neutral
2021-11-04,3526.87,35.8,0.85,Neutral
2021-11-05,3491.57,31.9,0.85,Neutral
2021-11-08,3498.63,32.2,0.85,Neutral
2021-11-09,3507.0,35.6,0.85,Neutral
2021-11-10,3492.46,34.8,0.85,Neutral
2021-11-11,3532.79,38.8,0.85,Neutral
2021-11-12,3539.1,41.3,0.85,Neutral
2021-11-15,3533.3,41.0,0.85,Neutral
2021-11-16,3521.79,38.6,0.85,Neutral
2021-11-17,3537.37,41.7,0.85,Neutral
2021-11-18,3520.71,38.4,0.85,Neutral
2021-11-19,3560.37,41.7,0.85,Neutral
2021-11-22,3582.08,42.0,0.85,Neutral
2021-11-23,3589.09,43.7,0.85,Neutral
2021-11-24,3592.7,43.9,0.85,Neutral
2021-11-25,3584.18,44.9,0.85,Neutral
2021-11-26,3564.09,39.0,0.85,Neutral
2021-11-29,3562.7,39.1,0.85,Neutral
2021-11-30,3563.89,37.0,0.85,Neutral
2021-12-01,3576.89,42.0,0.85,Neutral
2021-12-02,3573.84,40.0,0.85,Neutral
2021-12-03,3607.43,44.8,0.85,Neutral
2021-12-06,3589.31,42.9,0.85,Neutral
2021-12-07,3595.09,42.4,0.85,Neutral
2021-12-08,3637.57,46.5,0.85,Neutral
2021-12-09,3673.04,51.1,0.85,Neutral
2021-12-10,3666.35,48.8,0.85,Neutral
2021-12-13,3681.08,50.6,0.85,Neutral
2021-12-14,3661.53,48.8,0.85,Neutral
2021-12-15,3647.63,44.7,0.85,Neutral
2021-12-16,3675.02,46.7,0.85,Neutral
2021-12-17,3632.36,40.9,0.85,Neutral
2021-12-20,3593.6,38.2,0.85,Neutral
2021-12-21,3625.12,42.2,0.85,Neutral
2021-12-22,3622.62,42.5,0.85,Neutral
2021-12-23,3643.34,44.0,0.85,Neutral
2021-12-24,3618.05,42.2,0.85,Neutral
2021-12-27,3615.97,44.4,0.85,Neutral
2021-12-28,3630.11,44.6,0.85,Neutral
2021-12-29,3597.0,41.7,0.85,Neutral
2021-12-30,3619.19,42.7,0.85,Neutral
2021-12-31,3639.78,46.9,0.85,Neutral
2022-01-04,3632.33,47.7,0.85,Neutral
2022-01-05,3595.18,43.4,0.85,Neutral
2022-01-06,3586.08,46.0,0.85,Neutral
2022-01-07,3579.54,43.7,0.85,Neutral
2022-01-10,3593.52,44.2,0.85,Neutral
2022-01-11,3567.44,42.4,0.85,Neutral
2022-01-12,3597.43,46.2,0.85,Neutral
2022-01-13,3555.26,44.1,0.85,Neutral
2022-01-14,3521.26,39.6,0.85,Neutral
2022-01-17,3541.67,41.0,0.85,Neutral
2022-01-18,3569.91,43.9,0.85,Neutral
2022-01-19,3558.18,41.0,0.85,Neutral
2022-01-20,3555.06,42.2,0.85,Neutral
2022-01-21,3522.57,40.7,0.85,Neutral
2022-01-24,3524.11,38.6,0.85,Neutral
2022-01-25,3433.06,29.9,0.85,Pessimistic
2022-01-26,3455.67,33.4,0.85,Neutral
2022-01-27,3394.25,27.2,0.85,Pessimistic
2022-01-28,3361.44,28.1,0.85,Pessimistic
2022-02-07,3429.58,35.4,0.85,Neutral
2022-02-08,3452.63,43.8,0.85,Neutral
2022-02-09,3479.95,45.0,0.85,Neutral
2022-02-10,3485.91,47.0,0.85,Neutral
2022-02-11,3462.95,44.6,0.85,Neutral
2022-02-14,3428.88,39.2,0.85,Neutral
2022-02-15,3446.09,39.9,0.85,Neutral
2022-02-16,3465.83,41.7,0.85,Neutral
2022-02-17,3468.03,40.8,0.85,Neutral
2022-02-18,3490.76,45.0,0.85,Neutral
2022-02-21,3490.61,46.4,0.85,Neutral
2022-02-22,3457.15,41.5,0.85,Neutral
2022-02-23,3489.15,45.8,0.85,Neutral
2022-02-24,3429.96,38.5,0.85,Neutral
2022-02-25,3451.41,41.2,0.85,Neutral
2022-02-28,3462.31,41.0,0.85,Neutral
2022-03-01,3488.84,47.5,0.85,Neutral
2022-03-02,3484.19,45.5,0.85,Neutral
2022-03-03,3481.11,45.9,0.85,Neutral
2022-03-04,3447.65,40.7,0.85,Neutral
2022-03-07,3372.86,34.9,0.85,Neutral
2022-03-08,3293.53,26.4,0.85,Pessimistic
2022-03-09,3256.39,23.0,0.85,Pessimistic
2022-03-10,3296.09,26.8,0.85,Pessimistic
2022-03-11,3309.75,32.4,0.85,Neutral
2022-03-14,3223.53,25.6,0.85,Pessimistic
2022-03-15,3063.97,14.8,0.85,Ice-cold
2022-03-16,3170.71,26.3,0.85,Pessimistic
2022-03-17,3215.05,30.3,0.85,Neutral
2022-03-18,3251.07,35.7,0.85,Neutral
2022-03-21,3253.69,40.8,0.85,Neutral
2022-03-22,3259.86,45.7,0.85,Neutral
2022-03-23,3271.03,44.0,0.85,Neutral
2022-03-24,3250.26,39.2,0.85,Neutral
2022-03-25,3212.24,32.7,0.85,Neutral
2022-03-28,3214.5,31.4,0.85,Neutral
2022-03-29,3203.94,29.8,0.85,Pessimistic
2022-03-30,3266.6,40.4,0.85,Neutral
2022-03-31,3252.2,39.7,0.85,Neutral
2022-04-01,3282.72,46.1,0.85,Neutral
2022-04-06,3283.43,46.8,0.85,Neutral
2022-04-07,3236.7,41.0,0.85,Neutral
2022-04-08,3251.85,37.5,0.85,Neutral
2022-04-11,3167.13,29.5,0.85,Pessimistic
2022-04-12,3213.33,37.2,0.85,Neutral
2022-04-13,3186.82,30.7,0.85,Neutral
2022-04-14,3225.64,40.2,0.85,Neutral
2022-04-15,3211.24,34.8,0.85,Neutral
2022-04-18,3195.52,39.4,0.85,Neutral
2022-04-19,3194.03,36.7,0.85,Neutral
2022-04-20,3151.05,34.5,0.85,Neutral
2022-04-21,3079.81,23.8,0.85,Pessimistic
2022-04-22,3086.92,27.2,0.85,Pessimistic
2022-04-25,2928.51,14.2,0.85,Ice-cold
2022-04-26,2886.43,13.5,0.85,Ice-cold
2022-04-27,2958.28,18.2,0.85,Pessimistic
2022-04-28,2975.49,18.5,0.85,Pessimistic
2022-04-29,3047.06,31.7,0.85,Neutral
2022-05-05,3067.76,40.2,0.85,Neutral
2022-05-06,3001.56,34.8,0.85,Neutral
2022-05-09,3004.14,35.1,0.85,Neutral
2022-05-10,3035.84,39.4,0.85,Neutral
2022-05-11,3058.7,37.9,0.85,Neutral
2022-05-12,3054.99,35.6,0.85,Neutral
2022-05-13,3084.28,41.6,0.85,Neutral
2022-05-16,3073.75,40.5,0.85,Neutral
2022-05-17,3093.7,38.4,0.85,Neutral
2022-05-18,3085.98,39.2,0.85,Neutral
2022-05-19,3096.97,39.9,0.85,Neutral
2022-05-20,3146.57,45.4,0.85,Neutral
2022-05-23,3146.86,46.0,0.85,Neutral
2022-05-24,3070.93,35.0,0.85,Neutral
2022-05-25,3107.46,40.1,0.85,Neutral
2022-05-26,3123.11,41.1,0.85,Neutral
2022-05-27,3130.24,40.5,0.85,Neutral
2022-05-30,3149.06,40.6,0.85,Neutral
2022-05-31,3186.43,47.4,0.85,Neutral
2022-06-01,3182.16,45.7,0.85,Neutral
2022-06-02,3195.46,44.6,0.85,Neutral
2022-06-06,3236.37,49.2,0.85,Neutral
2022-06-07,3241.76,47.0,0.85,Neutral
2022-06-08,3263.79,46.3,0.85,Neutral
2022-06-09,3238.95,42.6,0.85,Neutral
2022-06-10,3284.83,46.0,0.85,Neutral
2022-06-13,3255.55,40.9,0.85,Neutral
2022-06-14,3288.91,42.7,0.85,Neutral
2022-06-15,3305.41,44.3,0.85,Neutral
2022-06-16,3285.39,44.6,0.85,Neutral
2022-06-17,3316.79,43.1,0.85,Neutral
2022-06-20,3315.43,45.6,0.85,Neutral
2022-06-21,3306.72,43.7,0.85,Neutral
2022-06-22,3267.2,39.6,0.85,Neutral
2022-06-23,3320.15,46.1,0.85,Neutral
2022-06-24,3349.75,45.4,0.85,Neutral
