date,close,asi,coverage,zone
2021-09-02,14277.34,45.3,0.85,Neutral
2021-09-03,14179.86,43.4,0.85,Neutral
2021-09-06,14546.6,50.8,0.85,Neutral
2021-09-07,14702.9,56.0,0.85,Neutral
2021-09-08,14688.08,58.5,0.85,Neutral
2021-09-09,14698.53,58.4,0.85,Neutral
2021-09-10,14771.87,59.9,0.85,Neutral
2021-09-13,14705.83,54.9,0.85,Neutral
2021-09-14,14626.08,50.2,0.85,Neutral
2021-09-15,14536.31,47.5,0.85,Neutral
2021-09-16,14258.13,42.4,0.85,Neutral
2021-09-17,14359.36,44.1,0.85,Neutral
2021-09-22,14277.08,42.4,0.85,Neutral
2021-09-23,14387.36,47.1,0.85,Neutral
2021-09-24,14357.85,43.0,0.85,Neutral
2021-09-27,14344.29,43.4,0.85,Neutral
2021-09-28,14313.82,43.1,0.85,Neutral
2021-09-29,14079.02,38.8,0.85,Neutral
2021-09-30,14309.01,43.6,0.85,Neutral
2021-10-08,14414.16,50.1,0.85,Neutral
2021-10-11,14367.6,49.2,0.85,Neutral
2021-10-12,14135.38,43.8,0.85,Neutral
2021-10-13,14353.08,49.4,0.85,Neutral
2021-10-14,14341.38,46.4,0.85,Neutral
2021-10-15,14415.99,43.1,0.85,Neutral
2021-10-18,14350.02,43.0,0.85,Neutral
2021-10-19,14499.77,48.2,0.85,Neutral
2021-10-20,14452.25,44.3,0.85,Neutral
2021-10-21,14444.86,43.7,0.85,Neutral
2021-10-22,14492.82,44.3,0.85,Neutral
2021-10-25,14596.73,46.4,0.85,Neutral
2021-10-26,14552.82,42.6,0.85,Neutral
2021-10-27,14393.51,36.7,0.85,Neutral
2021-10-28,14244.82,34.8,0.85,Neutral
2021-10-29,14451.38,42.2,0.85,Neutral
2021-11-01,14476.53,43.4,0.85,Neutral
2021-11-02,14377.27,38.2,0.85,Neutral
2021-11-03,14367.78,43.0,0.85,Neutral
2021-11-04,14555.27,48.6,0.85,Neutral
2021-11-05,14462.62,43.5,0.85,Neutral
2021-11-08,14508.86,45.0,0.85,Neutral
2021-11-09,14571.93,48.7,0.85,Neutral
2021-11-10,14515.88,47.1,0.85,Neutral
2021-11-11,14699.74,50.1,0.85,Neutral
2021-11-12,14705.37,52.2,0.85,Neutral
2021-11-15,14636.39,52.0,0.85,Neutral
2021-11-16,14613.97,49.0,0.85,Neutral
2021-11-17,14711.18,52.1,0.85,Neutral
2021-11-18,14579.17,46.0,0.85,Neutral
2021-11-19,14752.49,49.9,0.85,Neutral
2021-11-22,14960.66,55.4,0.85,Neutral
2021-11-23,14905.13,55.6,0.85,Neutral
2021-11-24,14887.59,52.9,0.85,Neutral
