date,close,asi,coverage,zone
2021-09-02,8668.81,62.9,0.4,Optimistic
2021-09-03,8637.23,61.1,0.4,Optimistic
2021-09-06,8704.54,61.3,0.4,Optimistic
2021-09-07,8863.9,70.2,0.4,Optimistic
2021-09-08,8933.11,81.0,0.4,Greed
2021-09-09,8936.58,74.3,0.4,Optimistic
2021-09-10,8937.92,75.3,0.4,Optimistic
2021-09-13,9006.96,75.2,0.4,Optimistic
2021-09-14,8953.77,66.3,0.4,Optimistic
2021-09-15,9062.78,68.8,0.4,Optimistic
2021-09-16,8853.33,55.6,0.4,Neutral
2021-09-17,8835.32,54.3,0.4,Neutral
2021-09-22,8901.86,54.7,0.4,Neutral
2021-09-23,8914.83,56.8,0.4,Neutral
2021-09-24,8722.93,44.5,0.4,Neutral
2021-09-27,8394.24,34.9,0.4,Neutral
2021-09-28,8407.65,37.1,0.4,Neutral
2021-09-29,8081.24,30.6,0.4,Neutral
2021-09-30,8324.5,35.5,0.4,Neutral
2021-10-08,8391.58,38.5,0.4,Neutral
2021-10-11,8341.75,44.0,0.4,Neutral
2021-10-12,8145.98,35.4,0.4,Neutral
2021-10-13,8184.31,44.2,0.4,Neutral
2021-10-14,8263.64,42.0,0.4,Neutral
2021-10-15,8223.32,38.9,0.4,Neutral
2021-10-18,8350.58,45.0,0.4,Neutral
2021-10-19,8415.66,52.4,0.4,Neutral
2021-10-20,8455.4,53.4,0.4,Neutral
2021-10-21,8430.43,50.1,0.4,Neutral
2021-10-22,8332.71,47.1,0.4,Neutral
2021-10-25,8445.75,48.3,0.4,Neutral
2021-10-26,8421.26,45.9,0.4,Neutral
2021-10-27,8331.52,41.1,0.4,Neutral
2021-10-28,8130.09,33.0,0.4,Neutral
2021-10-29,8262.26,40.9,0.4,Neutral
2021-11-01,8378.53,43.9,0.4,Neutral
2021-11-02,8262.46,38.5,0.4,Neutral
2021-11-03,8288.63,41.9,0.4,Neutral
2021-11-04,8410.44,54.5,0.4,Neutral
2021-11-05,8310.52,46.0,0.4,Neutral
2021-11-08,8380.43,46.3,0.4,Neutral
2021-11-09,8505.66,56.3,0.4,Neutral
2021-11-10,8534.08,57.5,0.4,Neutral
2021-11-11,8594.02,57.8,0.4,Neutral
2021-11-12,8710.79,67.2,0.4,Optimistic
2021-11-15,8712.89,66.5,0.4,Optimistic
2021-11-16,8617.7,55.4,0.4,Neutral
2021-11-17,8790.4,63.9,0.4,Optimistic
2021-11-18,8779.04,62.4,0.4,Optimistic
2021-11-19,8865.46,63.0,0.4,Optimistic
2021-11-22,9001.23,69.8,0.4,Optimistic
2021-11-23,9003.75,73.1,0.4,Optimistic
2021-11-24,8998.39,67.3,0.4,Optimistic
2021-11-25,8984.74,66.2,0.4,Optimistic
2021-11-26,9010.61,65.2,0.4,Optimistic
2021-11-29,9076.93,65.0,0.4,Optimistic
2021-11-30,9157.21,69.3,0.4,Optimistic
2021-12-01,9197.13,70.3,0.4,Optimistic
2021-12-02,9072.54,61.5,0.4,Optimistic
2021-12-03,9125.86,63.2,0.4,Optimistic
2021-12-06,8984.85,50.7,0.4,Neutral
2021-12-07,8834.15,41.5,0.4,Neutral
2021-12-08,8990.82,47.4,0.4,Neutral
2021-12-09,8985.45,50.4,0.4,Neutral
2021-12-10,9037.29,51.1,0.4,Neutral
2021-12-13,9096.98,58.9,0.4,Neutral
2021-12-14,9130.4,66.0,0.4,Optimistic
2021-12-15,9138.38,62.1,0.4,Optimistic
2021-12-16,9213.65,66.9,0.4,Optimistic
2021-12-17,9125.26,58.8,0.4,Neutral
2021-12-20,8987.1,49.8,0.4,Neutral
2021-12-21,9121.85,55.2,0.4,Neutral
2021-12-22,9193.14,59.0,0.4,Neutral
2021-12-23,9191.03,55.9,0.4,Neutral
2021-12-24,9012.03,49.8,0.4,Neutral
2021-12-27,9039.61,54.6,0.4,Neutral
2021-12-28,9121.87,54.1,0.4,Neutral
2021-12-29,9117.74,51.7,0.4,Neutral
2021-12-30,9201.58,55.5,0.4,Neutral
2021-12-31,9272.58,64.9,0.4,Optimistic
2022-01-04,9328.0,70.0,0.4,Optimistic
2022-01-05,9133.48,54.5,0.4,Neutral
2022-01-06,9233.43,58.5,0.4,Neutral
2022-01-07,9041.02,46.4,0.4,Neutral
2022-01-10,9110.84,47.2,0.4,Neutral
2022-01-11,9042.18,42.5,0.4,Neutral
2022-01-12,9188.89,54.2,0.4,Neutral
2022-01-13,9084.0,46.5,0.4,Neutral
2022-01-14,9097.05,52.9,0.4,Neutral
2022-01-17,9268.45,58.3,0.4,Neutral
2022-01-18,9151.17,55.5,0.4,Neutral
2022-01-19,9112.49,48.2,0.4,Neutral
2022-01-20,8871.54,40.0,0.4,Neutral
2022-01-21,8739.16,34.0,0.4,Neutral
2022-01-24,8758.06,32.4,0.4,Neutral
2022-01-25,8373.98,25.1,0.4,Pessimistic
2022-01-26,8427.31,27.2,0.4,Pessimistic
2022-01-27,8157.63,22.9,0.4,Pessimistic
2022-01-28,8240.8,24.6,0.4,Pessimistic
2022-02-07,8337.22,26.3,0.4,Pessimistic
2022-02-08,8433.62,39.4,0.4,Neutral
2022-02-09,8591.95,46.5,0.4,Neutral
2022-02-10,8557.19,52.0,0.4,Neutral
2022-02-11,8370.37,40.8,0.4,Neutral
2022-02-14,8368.67,37.5,0.4,Neutral
2022-02-15,8447.32,39.8,0.4,Neutral
2022-02-16,8551.08,41.8,0.4,Neutral
2022-02-17,8550.31,43.0,0.4,Neutral
2022-02-18,8611.04,51.1,0.4,Neutral
2022-02-21,8749.33,60.2,0.4,Optimistic
2022-02-22,8660.04,52.9,0.4,Neutral
2022-02-23,8819.03,58.9,0.4,Neutral
2022-02-24,8595.74,48.2,0.4,Neutral
2022-02-25,8680.31,49.0,0.4,Neutral
2022-02-28,8713.5,46.7,0.4,Neutral
2022-03-01,8771.09,52.1,0.4,Neutral
2022-03-02,8792.0,49.1,0.4,Neutral
2022-03-03,8741.75,52.9,0.4,Neutral
2022-03-04,8616.66,42.8,0.4,Neutral
2022-03-07,8467.99,33.6,0.4,Neutral
2022-03-08,8192.24,23.2,0.4,Pessimistic
2022-03-09,8106.33,21.4,0.4,Pessimistic
2022-03-10,8285.95,26.4,0.4,Pessimistic
2022-03-11,8336.39,32.5,0.4,Neutral
2022-03-14,8101.37,24.8,0.4,Pessimistic
2022-03-15,7691.13,16.1,0.4,Pessimistic
2022-03-16,7947.15,31.4,0.4,Neutral
2022-03-17,8106.9,35.2,0.4,Neutral
2022-03-18,8196.24,38.5,0.4,Neutral
2022-03-21,8304.81,51.8,0.4,Neutral
2022-03-22,8291.77,58.2,0.4,Neutral
2022-03-23,8323.86,58.2,0.4,Neutral
2022-03-24,8227.56,47.3,0.4,Neutral
2022-03-25,8177.0,42.0,0.4,Neutral
2022-03-28,8148.87,37.0,0.4,Neutral
2022-03-29,8088.9,34.3,0.4,Neutral
2022-03-30,8225.76,41.5,0.4,Neutral
2022-03-31,8176.75,42.1,0.4,Neutral
2022-04-01,8159.95,42.5,0.4,Neutral
2022-04-06,8210.07,46.7,0.4,Neutral
2022-04-07,8006.04,36.8,0.4,Neutral
2022-04-08,7948.21,28.9,0.4,Pessimistic
2022-04-11,7697.03,19.9,0.4,Pessimistic
2022-04-12,7811.22,25.3,0.4,Pessimistic
2022-04-13,7634.39,20.1,0.4,Pessimistic
2022-04-14,7706.56,26.1,0.4,Pessimistic
2022-04-15,7567.18,20.3,0.4,Pessimistic
2022-04-18,7625.03,32.0,0.4,Neutral
2022-04-19,7681.04,32.8,0.4,Neutral
2022-04-20,7572.33,32.1,0.4,Neutral
2022-04-21,7248.11,16.4,0.4,Pessimistic
2022-04-22,7143.99,16.8,0.4,Pessimistic
2022-04-25,6577.2,9.3,0.4,Ice-cold
2022-04-26,6356.05,9.5,0.4,Ice-cold
2022-04-27,6617.91,14.0,0.4,Ice-cold
2022-04-28,6531.7,14.2,0.4,Ice-cold
2022-04-29,6821.89,22.8,0.4,Pessimistic
2022-05-05,6953.25,49.0,0.4,Neutral
2022-05-06,6876.5,46.9,0.4,Neutral
2022-05-09,6991.17,48.9,0.4,Neutral
2022-05-10,7124.75,54.0,0.4,Neutral
2022-05-11,7153.31,57.3,0.4,Neutral
2022-05-12,7212.84,53.3,0.4,Neutral
2022-05-13,7251.37,55.9,0.4,Neutral
2022-05-16,7273.1,54.4,0.4,Neutral
2022-05-17,7277.78,49.6,0.4,Neutral
2022-05-18,7311.8,50.0,0.4,Neutral
2022-05-19,7364.12,50.5,0.4,Neutral
2022-05-20,7451.41,53.1,0.4,Neutral
2022-05-23,7567.98,56.9,0.4,Neutral
2022-05-24,7240.9,43.5,0.4,Neutral
2022-05-25,7397.47,48.4,0.4,Neutral
2022-05-26,7440.78,48.9,0.4,Neutral
2022-05-27,7441.6,46.2,0.4,Neutral
2022-05-30,7514.91,45.4,0.4,Neutral
2022-05-31,7586.2,59.5,0.4,Neutral
2022-06-01,7627.74,55.9,0.4,Neutral
2022-06-02,7680.47,56.2,0.4,Neutral
2022-06-06,7820.59,63.5,0.4,Optimistic
2022-06-07,7802.39,60.6,0.4,Optimistic
2022-06-08,7798.42,58.3,0.4,Neutral
2022-06-09,7666.75,49.8,0.4,Neutral
2022-06-10,7833.22,56.4,0.4,Neutral
2022-06-13,7902.22,56.1,0.4,Neutral
2022-06-14,7902.39,57.0,0.4,Neutral
2022-06-15,7861.83,55.2,0.4,Neutral
2022-06-16,7927.05,62.4,0.4,Optimistic
2022-06-17,7991.31,60.1,0.4,Optimistic
2022-06-20,8089.19,63.2,0.4,Optimistic
2022-06-21,8023.63,60.2,0.4,Optimistic
2022-06-22,7943.26,56.8,0.4,Neutral
2022-06-23,8117.0,64.0,0.4,Optimistic
2022-06-24,8204.67,66.5,0.4,Optimistic
2022-06-27,8286.63,67.0,0.4,Optimistic
2022-06-28,8394.4,75.2,0.4,Optimistic
2022-06-29,8171.02,65.5,0.4,Optimistic
2022-06-30,8243.06,62.0,0.4,Optimistic
2022-07-01,8252.65,59.2,0.4,Neutral
2022-07-04,8330.93,60.9,0.4,Optimistic
2022-07-05,8262.9,52.8,0.4,Neutral
2022-07-06,8176.62,53.1,0.4,Neutral
2022-07-07,8276.53,56.8,0.4,Neutral
2022-07-08,8257.3,55.2,0.4,Neutral
2022-07-11,8170.08,47.8,0.4,Neutral
2022-07-12,8033.57,44.6,0.4,Neutral
2022-07-13,8130.22,50.8,0.4,Neutral
2022-07-14,8203.61,50.8,0.4,Neutral
2022-07-15,8087.43,46.8,0.4,Neutral
2022-07-18,8268.66,56.6,0.4,Neutral
2022-07-19,8352.92,66.0,0.4,Optimistic
2022-07-20,8448.08,67.3,0.4,Optimistic
2022-07-21,8405.27,62.5,0.4,Optimistic
2022-07-22,8378.16,63.6,0.4,Optimistic
2022-07-25,8278.27,53.5,0.4,Neutral
2022-07-26,8379.3,54.6,0.4,Neutral
2022-07-27,8480.83,57.0,0.4,Neutral
2022-07-28,8538.16,62.1,0.4,Optimistic
2022-07-29,8517.06,61.1,0.4,Optimistic
2022-08-01,8574.94,67.1,0.4,Optimistic
2022-08-02,8247.98,49.1,0.4,Neutral
2022-08-03,8187.3,42.2,0.4,Neutral
2022-08-04,8277.29,45.3,0.4,Neutral
2022-08-05,8371.94,49.9,0.4,Neutral
2022-08-08,8518.19,53.8,0.4,Neutral
2022-08-09,8549.85,64.1,0.4,Optimistic
2022-08-10,8594.61,67.5,0.4,Optimistic
2022-08-11,8690.2,70.2,0.4,Optimistic
2022-08-12,8633.04,64.5,0.4,Optimistic
2022-08-15,8704.9,62.5,0.4,Optimistic
2022-08-16,8790.93,66.2,0.4,Optimistic
2022-08-17,8800.04,65.6,0.4,Optimistic
2022-08-18,8844.62,64.3,0.4,Optimistic
2022-08-19,8698.52,58.5,0.4,Neutral
2022-08-22,8757.84,57.8,0.4,Neutral
2022-08-23,8814.93,58.1,0.4,Neutral
2022-08-24,8496.51,42.0,0.4,Neutral
2022-08-25,8435.9,38.3,0.4,Neutral
2022-08-26,8392.38,40.3,0.4,Neutral
2022-08-29,8460.28,41.9,0.4,Neutral
2022-08-30,8400.45,37.7,0.4,Neutral
2022-08-31,8108.94,32.2,0.4,Neutral
2022-09-01,8075.0,32.9,0.4,Neutral
2022-09-02,8193.71,38.8,0.4,Neutral
2022-09-05,8217.59,38.1,0.4,Neutral
2022-09-06,8367.75,45.9,0.4,Neutral
2022-09-07,8420.57,56.5,0.4,Neutral
2022-09-08,8324.82,52.4,0.4,Neutral
2022-09-09,8306.24,47.7,0.4,Neutral
2022-09-13,8315.66,47.4,0.4,Neutral
2022-09-14,8225.69,40.0,0.4,Neutral
2022-09-15,7975.69,27.8,0.4,Pessimistic
2022-09-16,7803.69,25.9,0.4,Pessimistic
2022-09-19,7707.64,25.1,0.4,Pessimistic
2022-09-20,7837.61,27.4,0.4,Pessimistic
2022-09-21,7856.82,28.6,0.4,Pessimistic
2022-09-22,7853.85,34.2,0.4,Neutral
2022-09-23,7676.97,31.1,0.4,Neutral
2022-09-26,7560.48,28.8,0.4,Pessimistic
2022-09-27,7731.04,32.9,0.4,Neutral
2022-09-28,7487.21,22.6,0.4,Pessimistic
2022-09-29,7477.24,22.6,0.4,Pessimistic
2022-09-30,7364.67,22.6,0.4,Pessimistic
2022-10-10,7227.89,20.0,0.4,Pessimistic
2022-10-11,7296.41,20.4,0.4,Pessimistic
2022-10-12,7518.93,38.2,0.4,Neutral
2022-10-13,7590.16,43.1,0.4,Neutral
2022-10-14,7766.61,56.6,0.4,Neutral
2022-10-17,7869.28,59.0,0.4,Neutral
2022-10-18,7910.08,60.4,0.4,Optimistic
2022-10-19,7855.78,57.2,0.4,Neutral
2022-10-20,7806.02,52.3,0.4,Neutral
2022-10-21,7818.7,47.4,0.4,Neutral
2022-10-24,7740.38,40.2,0.4,Neutral
2022-10-25,7729.08,38.4,0.4,Neutral
2022-10-26,7883.8,50.0,0.4,Neutral
2022-10-27,7840.27,48.6,0.4,Neutral
2022-10-28,7551.99,30.9,0.4,Neutral
2022-10-31,7630.53,38.5,0.4,Neutral
2022-11-01,7821.98,50.7,0.4,Neutral
2022-11-02,7929.7,52.6,0.4,Neutral
2022-11-03,7971.16,54.9,0.4,Neutral
2022-11-04,8126.03,65.8,0.4,Optimistic
2022-11-07,8162.8,66.2,0.4,Optimistic
2022-11-08,8156.39,62.9,0.4,Optimistic
2022-11-09,8160.09,59.1,0.4,Neutral
2022-11-10,8104.79,56.5,0.4,Neutral
2022-11-11,8115.43,53.1,0.4,Neutral
2022-11-14,8073.82,49.4,0.4,Neutral
2022-11-15,8246.25,56.8,0.4,Neutral
2022-11-16,8201.17,54.6,0.4,Neutral
2022-11-17,8229.9,57.4,0.4,Neutral
2022-11-18,8162.15,54.8,0.4,Neutral
2022-11-21,8217.83,57.4,0.4,Neutral
2022-11-22,8088.31,44.5,0.4,Neutral
2022-11-23,8056.55,44.2,0.4,Neutral
2022-11-24,8089.42,45.1,0.4,Neutral
2022-11-25,7991.21,42.5,0.4,Neutral
2022-11-28,7964.55,39.9,0.4,Neutral
2022-11-29,8093.46,50.5,0.4,Neutral
2022-11-30,8092.26,51.6,0.4,Neutral
2022-12-01,8161.51,55.4,0.4,Neutral
2022-12-02,8207.76,60.6,0.4,Optimistic
